Date,Close,High,Low,Open,Volume
2024-03-11,171.9600067138672,174.47000122070312,171.47000122070312,174.30999755859375,28484800
2024-03-12,175.38999938964844,176.75999450683594,171.97999572753906,173.5,36610600
2024-03-13,176.55999755859375,177.6199951171875,175.5500030517578,175.89999389648438,30772600
2024-03-14,178.75,179.52999877929688,176.47000122070312,177.69000244140625,43705800
2024-03-15,174.4199981689453,177.92999267578125,173.89999389648438,176.63999938964844,72147400
2024-03-18,174.47999572753906,176.69000244140625,174.27999877929688,175.8000030517578,31250700
2024-03-19,175.89999389648438,176.08999633789062,173.52000427246094,174.22000122070312,26880900
2024-03-20,178.14999389648438,178.52999877929688,174.63999938964844,176.13999938964844,29947200
2024-03-21,178.14999389648438,181.4199981689453,178.14999389648438,179.99000549316406,32824300
2024-03-22,178.8699951171875,179.25999450683594,176.75,177.75,27995400
2024-03-25,179.7100067138672,180.99000549316406,177.24000549316406,178.00999450683594,29815500
2024-03-26,178.3000030517578,180.4499969482422,177.9499969482422,180.14999389648438,29659000
2024-03-27,179.8300018310547,180.0,177.30999755859375,179.8800048828125,33272600
2024-03-28,180.3800048828125,181.6999969482422,179.25999450683594,180.1699981689453,38051600
2024-04-01,180.97000122070312,183.0,179.9499969482422,180.7899932861328,29174500
2024-04-02,180.69000244140625,180.7899932861328,178.3800048828125,179.07000732421875,32611500
2024-04-03,182.41000366210938,182.8699951171875,179.8000030517578,179.89999389648438,31046600
2024-04-04,180.0,185.10000610351562,180.0,184.0,41624300
2024-04-05,185.07000732421875,186.27000427246094,181.97000122070312,182.3800048828125,42374000
2024-04-08,185.19000244140625,187.2899932861328,184.80999755859375,186.89999389648438,39221300
