Date,Close,High,Low,Open,Volume
2023-02-27,89.42927551269531,89.77666852602803,88.94292529402951,89.41934783442873,22724300
2023-02-28,89.6277847290039,90.76921775126739,88.85358490483152,88.87344025992782,30546900
2023-03-01,89.83621215820312,90.52107039328135,89.18112180779958,89.48881920235208,26323900
2023-03-02,91.622802734375,91.7915429373536,89.10171066435545,89.19104460388508,23328600
2023-03-03,93.32008361816406,93.40941756895012,91.97021483243287,92.04961353328834,30242500
2023-03-06,94.86847686767578,95.58311819266453,93.59800676662871,93.65755768617807,28288200
2023-03-07,93.4689712524414,95.37467643612347,93.14540165881215,94.70966591461972,24101500
2023-03-08,93.94540405273438,95.52356407383762,93.70222516577593,93.70222516577593,25395200
2023-03-09,91.97020721435547,95.20593307731446,91.66747744791009,93.78657824042934,24438900
2023-03-10,90.33248901367188,92.48633288967268,90.12405324237487,91.81139476578782,32850100
2023-03-13,90.9776611328125,92.38708844092993,89.27046407899174,89.89081140537432,31508600
2023-03-14,93.54837036132812,94.12405445789844,92.08931233877172,92.37715438705688,32303900
2023-03-15,95.83124542236328,96.5260313076205,92.34737317463478,92.84365097056084,38367300
2023-03-16,100.31759643554688,101.21089801007058,95.1563102290075,95.8510961355268,54499500
2023-03-17,101.69725036621094,102.7195814678215,99.99998112383827,100.08930749694275,76140300
2023-03-20,101.17120361328125,101.8163663379624,100.03969071203699,100.30767742123733,26033900
2023-03-21,105.05208587646484,105.17119528005082,101.10171864834624,101.2208280519322,33122800
2023-03-22,103.44415283203125,106.70966188535226,103.43422515503305,104.35730222829764,32336900
2023-03-23,105.4689712524414,106.30370641962918,104.62530041836065,105.10172291573843,31385800
2023-03-24,105.27046203613281,105.36972367073456,103.96028872894475,104.95284449416599,25236200
